iter	RMSE
0	2261.011328
1	2091.913669
2	1940.230924
3	1803.570168
4	1680.973418
5	1569.329759
6	1466.611626
7	1374.656878
8	1292.118039
9	1219.653971
10	1153.023976
11	1091.215981
12	1037.40529
13	991.1635543
14	948.3037865
15	908.9404196
16	875.3806417
17	846.8109723
18	821.2099035
19	796.5245319
20	773.4435308
21	753.3058758
22	737.6473867
23	721.5157465
24	706.105883
25	693.3826422
26	682.9599976
27	672.0280502
28	664.1333009
29	655.1804192
30	646.9990909
31	639.4899169
32	632.6358277
33	627.5771443
34	621.7952178
35	616.3619056
36	611.1776615
37	607.6490347
38	604.9983484
39	599.5399138
40	596.3334326
41	592.1180615
42	589.8545622
43	587.3897085
44	584.1808098
45	579.4904487
46	576.7968634
47	574.5197133
48	571.4782553
49	568.8736441
50	567.2648632
51	564.2002766
52	562.7298589
53	560.2526778
54	558.600691
55	556.3682296
56	552.9845652
57	550.9213177
58	548.5342039
59	547.1265041
60	545.8998602
61	544.609215
62	543.5460331
63	541.7182009
64	539.8586049
65	538.3781886
66	535.9914189
67	533.8020578
68	532.5243406
69	530.4495015
70	528.4633154
71	527.3133805
72	525.3698007
73	523.2540856
74	521.6154282
75	520.8904606
76	519.023711
77	517.799981
78	516.1116981
79	515.0797354
80	513.9513613
81	512.2839489
82	511.5047369
83	510.3880223
84	509.4535467
85	507.6984703
86	506.3881535
87	505.4132513
88	504.3549668
89	503.2526033
90	502.5126565
91	500.9052796
92	499.1927712
93	498.5954856
94	498.0573236
95	496.5690307
96	495.8130424
97	495.0611311
98	493.3893101
99	492.5503846
100	491.3807434
101	490.8107436
102	489.9843537
103	489.2894226
104	488.3028509
105	487.6469341
106	486.5594049
107	485.3924073
108	484.8482114
109	483.9663123
110	482.614898
111	481.3794063
112	480.8051499
113	480.4451594
114	479.7138388
115	478.4045214
116	477.4764363
117	477.0619118
118	475.6391521
119	474.4770021
120	473.5327636
121	473.0783273
122	472.6672949
123	472.1811379
124	471.071159
125	470.2614149
126	469.244255
127	468.2669728
128	467.7044092
129	466.3589008
130	465.5820335
131	464.7586667
132	464.1980289
133	462.7554218
134	461.9114521
135	460.9366611
136	460.0942035
137	459.4533914
138	458.9159848
139	458.105206
140	457.653335
141	456.8382594
142	456.4835518
143	455.8475795
144	455.1754069
145	454.0748631
146	453.0630545
147	452.5019982
148	451.8239832
149	451.3729675
150	450.9246225
151	450.2863283
152	449.6788038
153	449.0732519
154	447.9638947
155	447.3456027
156	446.2834779
157	445.7803361
158	445.2930488
159	444.831352
160	444.1356456
161	443.7054321
162	442.7178985
163	442.1328609
164	441.3665843
165	441.1147433
166	440.3371471
167	440.0582298
168	439.6309173
169	439.003687
170	438.1294509
171	437.5675211
172	437.0613902
173	436.6578041
174	436.0987056
175	435.6226726
176	435.1488698
177	434.5079809
178	433.5079422
179	432.8003289
180	432.4285742
181	431.9348679
182	431.123282
183	430.7154916
184	430.2929401
185	429.6845793
186	429.3065584
187	428.4717414
188	428.1071828
189	427.4830705
190	426.6562402
191	426.1906956
192	425.8337099
193	424.8589446
194	424.4671154
195	423.9328675
196	423.2728714
197	422.9194198
198	422.5786907
199	422.2546652
200	421.968127
201	421.5557739
202	421.1751152
203	421.0024088
204	420.5525034
205	420.2887472
206	419.5554571
207	419.228037
208	418.7545212
