iter	Passed	Remaining
0	205	205141
1	265	132537
2	325	108148
3	375	93425
4	429	85473
5	478	79331
6	527	74867
7	565	70168
8	609	67105
9	655	64936
10	696	62587
11	738	60796
12	782	59392
13	824	58095
14	866	56925
15	900	55401
16	938	54279
17	985	53791
18	1023	52824
19	1073	52589
20	1127	52540
21	1170	52014
22	1213	51538
23	1254	51002
24	1296	50572
25	1338	50144
26	1373	49502
27	1413	49078
28	1453	48663
29	1493	48276
30	1523	47620
31	1557	47125
32	1594	46738
33	1636	46504
34	1673	46149
35	1715	45943
36	1745	45429
37	1786	45214
38	1832	45147
39	1875	45008
40	1907	44620
41	1963	44781
42	1999	44504
43	2041	44349
44	2085	44254
45	2134	44260
46	2172	44052
47	2207	43785
48	2242	43515
49	2278	43296
50	2313	43048
51	2351	42862
52	2385	42626
53	2429	42552
54	2485	42709
55	2527	42605
56	2567	42484
57	2600	42231
58	2637	42073
59	2669	41819
60	2701	41592
61	2743	41507
62	2779	41340
63	2815	41180
64	2851	41016
65	2890	40911
66	2926	40748
67	2961	40594
68	3007	40576
69	3055	40599
70	3085	40372
71	3135	40411
72	3173	40296
73	3209	40158
74	3241	39977
75	3272	39789
76	3314	39731
77	3349	39596
78	3379	39396
79	3416	39291
80	3453	39185
81	3504	39237
82	3549	39211
83	3593	39190
84	3629	39066
85	3669	39000
86	3701	38842
87	3732	38680
88	3764	38530
89	3800	38431
90	3827	38232
91	3869	38185
92	3905	38090
93	3940	37978
94	3979	37909
95	4013	37796
96	4048	37684
97	4090	37647
98	4121	37505
99	4153	37385
100	4195	37347
101	4231	37257
102	4280	37280
103	4320	37219
104	4355	37127
105	4394	37062
106	4432	36991
107	4470	36921
108	4504	36819
109	4543	36760
110	4587	36744
111	4632	36730
112	4669	36654
113	4701	36539
114	4746	36526
115	4787	36483
116	4822	36395
117	4855	36290
118	4890	36207
119	4927	36132
120	4963	36054
121	4996	35954
122	5029	35863
123	5072	35838
124	5105	35737
125	5142	35667
126	5184	35638
127	5220	35562
128	5256	35491
129	5292	35419
130	5337	35406
131	5369	35310
132	5408	35257
133	5450	35224
134	5497	35224
135	5538	35185
136	5572	35101
137	5606	35021
138	5652	35011
139	5690	34956
140	5721	34856
141	5753	34764
142	5791	34705
143	5825	34627
144	5864	34579
145	5909	34564
146	5943	34486
147	5987	34467
148	6024	34407
149	6069	34391
150	6119	34404
151	6154	34335
152	6185	34243
153	6220	34172
154	6264	34151
155	6298	34076
156	6332	34000
157	6374	33969
158	6415	33933
159	6448	33853
160	6486	33804
161	6524	33748
162	6576	33771
163	6616	33730
164	6657	33691
165	6699	33660
166	6741	33624
167	6781	33585
168	6818	33529
169	6855	33473
170	6898	33445
171	6936	33390
172	6990	33414
173	7031	33379
174	7074	33351
175	7112	33300
176	7156	33275
177	7191	33210
178	7230	33162
179	7269	33117
180	7311	33082
181	7350	33039
182	7390	32995
183	7422	32917
184	7462	32875
185	7498	32816
186	7552	32833
187	7591	32789
188	7630	32741
189	7684	32761
190	7732	32753
191	7768	32694
192	7807	32644
193	7846	32599
194	7892	32579
195	7932	32539
196	7971	32494
197	8015	32465
198	8063	32457
199	8102	32410
200	8141	32363
201	8185	32335
202	8225	32295
203	8260	32231
204	8297	32176
205	8343	32160
206	8381	32107
207	8425	32082
208	8469	32053
209	8511	32019
210	8551	31975
211	8586	31914
212	8621	31855
213	8654	31786
214	8690	31731
215	8727	31679
216	8769	31642
217	8805	31585
218	8839	31523
219	8882	31492
220	8920	31442
221	8965	31420
222	9000	31360
223	9053	31362
224	9092	31320
225	9124	31249
226	9158	31188
227	9201	31155
228	9240	31109
229	9288	31096
230	9324	31040
231	9368	31013
232	9404	30957
233	9440	30903
234	9477	30853
235	9514	30800
236	9542	30722
237	9584	30684
238	9636	30683
239	9665	30608
240	9707	30571
241	9747	30530
242	9785	30484
243	9823	30436
244	9862	30391
245	9896	30332
246	9932	30280
247	9969	30230
248	10004	30175
249	10061	30184
250	10099	30137
251	10139	30098
252	10175	30044
253	10212	29994
254	10248	29941
255	10288	29900
256	10327	29856
257	10368	29820
258	10399	29752
259	10444	29727
260	10485	29687
261	10531	29665
262	10580	29648
263	10620	29609
264	10655	29552
265	10694	29509
266	10733	29466
267	10781	29446
268	10826	29420
269	10871	29392
270	10914	29359
271	10948	29302
272	10989	29264
273	11037	29246
274	11083	29221
275	11122	29176
276	11173	29163
277	11216	29131
278	11255	29087
279	11299	29057
280	11347	29034
281	11386	28991
282	11417	28927
283	11461	28896
284	11502	28857
285	11544	28820
286	11589	28791
287	11619	28727
288	11666	28701
289	11703	28653
290	11741	28606
291	11784	28574
292	11821	28525
293	11859	28479
294	11896	28430
295	11940	28399
296	11973	28342
297	12018	28311
298	12062	28279
299	12097	28226
300	12136	28185
301	12169	28126
302	12210	28087
303	12247	28040
304	12281	27986
305	12331	27966
306	12366	27916
307	12407	27876
308	12445	27831
309	12481	27781
310	12524	27748
311	12574	27728
312	12623	27707
313	12663	27665
314	12707	27632
315	12751	27602
316	12791	27560
317	12829	27514
318	12865	27465
319	12907	27428
320	12946	27385
321	12982	27335
322	13030	27310
323	13071	27272
324	13114	27236
325	13153	27194
326	13190	27147
327	13223	27092
328	13260	27044
329	13295	26993
330	13334	26951
331	13374	26911
332	13422	26884
333	13465	26851
334	13508	26814
335	13548	26774
336	13589	26734
337	13631	26698
338	13676	26667
339	13721	26636
340	13760	26592
341	13803	26558
342	13844	26518
343	13899	26506
344	13943	26472
345	13984	26432
346	14038	26417
347	14080	26380
348	14127	26352
349	14164	26305
350	14203	26262
351	14239	26213
352	14277	26168
353	14314	26121
354	14349	26072
355	14387	26027
356	14424	25980
357	14462	25935
358	14502	25894
359	14542	25853
360	14582	25811
361	14619	25766
362	14664	25733
363	14699	25683
364	14736	25636
365	14778	25600
366	14817	25557
367	14850	25504
368	14878	25442
369	14917	25399
370	14959	25362
371	15002	25327
372	15037	25278
373	15078	25238
374	15108	25180
375	15157	25154
376	15202	25123
377	15251	25096
378	15291	25055
379	15328	25010
380	15372	24975
381	15413	24935
382	15456	24900
383	15494	24855
384	15534	24815
385	15578	24780
386	15629	24756
387	15668	24713
388	15713	24680
389	15751	24637
390	15793	24598
391	15827	24548
392	15868	24508
393	15916	24481
394	15958	24442
395	16001	24406
396	16043	24368
397	16089	24336
398	16139	24309
399	16181	24272
400	16234	24250
401	16271	24205
402	16302	24150
403	16346	24115
404	16394	24086
405	16437	24049
406	16483	24017
407	16523	23974
408	16561	23930
409	16600	23888
410	16632	23836
411	16670	23791
412	16711	23752
413	16759	23722
414	16804	23687
415	16840	23641
416	16881	23602
417	16922	23562
418	16983	23549
419	17029	23517
420	17076	23485
421	17110	23435
422	17145	23387
423	17184	23344
424	17222	23300
425	17258	23253
426	17295	23209
427	17333	23165
428	17376	23128
429	17414	23084
430	17456	23045
431	17495	23002
432	17537	22964
433	17581	22928
434	17622	22889
435	17658	22842
436	17698	22801
437	17738	22759
438	17778	22719
439	17813	22671
440	17848	22624
441	17880	22573
442	17923	22535
443	17963	22495
444	18002	22452
445	18038	22406
446	18081	22368
447	18116	22322
448	18171	22299
449	18219	22267
450	18263	22231
451	18305	22193
452	18355	22164
453	18396	22125
454	18434	22081
455	18476	22042
456	18518	22003
457	18562	21967
458	18604	21928
459	18646	21889
460	18680	21841
461	18711	21789
462	18748	21744
463	18801	21718
464	18846	21683
465	18888	21645
466	18921	21595
467	18974	21569
468	19017	21531
469	19065	21499
470	19102	21454
471	19135	21405
472	19179	21369
473	19223	21332
474	19261	21288
475	19305	21251
476	19364	21231
477	19404	21190
478	19446	21151
479	19494	21119
480	19533	21076
481	19584	21047
482	19631	21013
483	19675	20976
484	19727	20948
485	19774	20914
486	19825	20883
487	19871	20848
488	19917	20813
489	19976	20792
490	20029	20764
491	20075	20728
492	20118	20689
493	20159	20649
494	20194	20602
495	20237	20564
496	20285	20530
497	20329	20492
498	20373	20455
499	20413	20413
500	20459	20377
501	20504	20341
502	20540	20295
503	20579	20253
504	20620	20212
505	20657	20167
506	20694	20123
507	20735	20082
508	20765	20031
509	20807	19991
510	20845	19947
511	20884	19905
512	20923	19863
513	20969	19826
514	21009	19785
515	21047	19742
516	21094	19707
517	21132	19663
518	21173	19622
519	21212	19580
520	21258	19545
521	21304	19508
522	21344	19467
523	21395	19435
524	21441	19399
525	21480	19356
526	21517	19312
527	21560	19274
528	21602	19233
529	21637	19188
530	21679	19147
531	21716	19103
532	21762	19067
533	21805	19028
534	21843	18985
535	21885	18946
536	21925	18904
537	21970	18867
538	22017	18831
539	22061	18793
540	22097	18747
541	22146	18714
542	22183	18670
543	22222	18627
544	22265	18588
545	22309	18550
546	22347	18507
547	22391	18469
548	22428	18424
549	22469	18384
550	22508	18341
551	22550	18301
552	22596	18264
553	22640	18227
554	22677	18182
555	22715	18139
556	22754	18097
557	22795	18056
